Qc3,3rr1k1/pp4bp/5qp1/2P2p2/1P2p3/P2pQ1PP/3R1PB1/3R2K1 b - - 1 29
h5,r1b1nrk1/pp2ppbp/1qnp2p1/8/3P1B1P/2N5/PPPQ1PP1/2KR1BNR w - - 1 10
hxg6,r1b1nrk1/pp2ppbp/1q1p2p1/7P/3n1B2/2N5/PPPQ1PP1/2KR1BNR w - - 0 11
Bh6,r1b1nrk1/pp2p1bp/1q1p2p1/8/3n1B2/2N5/PPPQ1PP1/2KR1BNR w - - 0 12
f3,r3nrk1/pp2p1bp/1q1p2pB/8/3n2b1/2N5/PPPQ1PP1/2KR1BNR w - - 2 13
Bxg7,r3nrk1/pp2p1bp/1q1pb1pB/8/3n4/2N2P2/PPPQ2P1/2KR1BNR w - - 1 14
Qh6+,r3nr2/pp2p1kp/1q1pb1p1/8/3n4/2N2P2/PPPQ2P1/2KR1BNR w - - 0 15
Qxh7+,r3nr2/pp2pk1p/1q1pb1pQ/8/3n4/2N2P2/PPP3P1/2KR1BNR w - - 2 16
Qh4+,r3nr2/pp2p2Q/1q1pbkp1/8/3n4/2N2P2/PPP3P1/2KR1BNR w - - 1 17
Qf4+,r3nr2/pp2pk2/1q1pb1p1/8/3n3Q/2N2P2/PPP3P1/2KR1BNR w - - 3 18
Qxd4+,r3nr2/pp2p1k1/1q1pb1p1/8/3n1Q2/2N2P2/PPP3P1/2KR1BNR w - - 5 19
Rxd4,r3nr2/pp2p1k1/3pb1p1/8/3q4/2N2P2/PPP3P1/2KR1BNR w - - 0 20
Bd3,r4r2/pp2p1k1/3pbnp1/8/3R4/2N2P2/PPP3P1/2K2BNR w - - 1 21
Nge2,2r2r2/pp2p1k1/3pbnp1/8/3R4/2NB1P2/PPP3P1/2K3NR w - - 3 22
Nxc3,5r2/pp2p1k1/3pbnp1/8/3R4/2rB1P2/PPP1N1P1/2K4R w - - 0 23
Nxa2,5r2/pp2p1k1/3p1np1/8/3R4/2NB1P2/bPP3P1/2K4R w - - 0 24
c3,2r5/pp2p1k1/3p1np1/8/3R4/3B1P2/NPP3P1/2K4R w - - 1 25
Rdh4,2r5/pp2p1k1/3p2p1/3n4/3R4/2PB1P2/NP4P1/2K4R w - - 1 26
Nb4,2r5/ppn1p1k1/3p2p1/8/7R/2PB1P2/NP4P1/2K4R w - - 3 27
R4h2,2r5/ppn1p3/3p1kp1/8/1N5R/2PB1P2/1P4P1/2K4R w - - 5 28
g4,2r5/ppn1p1k1/3p2p1/8/1N6/2PB1P2/1P4PR/2K4R w - - 7 29
axb6,r1bq1rk1/p4ppp/1Pn1pb2/3p4/8/2P2NP1/PP2PPBP/RN1Q1RK1 b - - 0 10
Ba6,r1bq1rk1/5ppp/1pn1pb2/3p4/8/2P2NP1/PP1NPPBP/R2Q1RK1 b - - 1 11
Qc7,r2q1rk1/5ppp/bpn1pb2/3p4/8/2P2NP1/PP1NPPBP/R2QR1K1 b - - 3 12
dxe4,r4rk1/2q2ppp/bpn1pb2/3p4/4P3/2P2NP1/PP1N1PBP/R2QR1K1 b - - 0 13
Be7,r4rk1/2q2ppp/bpn1pb2/8/4N3/2P2NP1/PP3PBP/R2QR1K1 b - - 0 14
Qb7,r4rk1/2q1bppp/bpn1p3/8/4N3/2P2NP1/PPQ2PBP/R3R1K1 b - - 2 15
Bxg5,r4rk1/1q2bppp/bpn1p3/6N1/8/2P2NP1/PPQ2PBP/R3R1K1 b - - 4 16
g6,r4rk1/1q3ppp/bpn1p3/6N1/8/2P3P1/PPQ2PBP/R3R1K1 b - - 0 17
Rac8,r4rk1/1q3p1p/bpn1p1p1/8/4N3/2P3P1/PPQ2PBP/R3R1K1 b - - 1 18
Qc7,2r2rk1/1q3p1p/bpnNp1p1/8/8/2P3P1/PPQ2PBP/R3R1K1 b - - 3 19
Qxc8,2N2rk1/2q2p1p/bpn1p1p1/8/8/2P3P1/PPQ2PBP/R3R1K1 b - - 0 20
Bb7,2q2rk1/5p1p/bpn1p1p1/8/4Q3/2P3P1/PP3PBP/R3R1K1 b - - 1 21
h5,2q2rk1/1b3p1p/1pn1p1p1/8/7Q/2P3P1/PP3PBP/R3R1K1 b - - 3 22
Kg7,2q2rk1/1b3p2/1pn1p1p1/7p/7Q/2P3P1/PP3PBP/3RR1K1 b - - 1 23
Ne7,2q2r2/1b3pk1/1pn1p1p1/7p/7Q/2P3P1/PP1R1PBP/4R1K1 b - - 3 24
Bxg2,2q2r2/1b2Qpk1/1p2p1p1/7p/8/2P3P1/PP1R1PBP/4R1K1 b - - 0 25
Re8,2q2r2/4Qpk1/1p2p1p1/7p/8/2P3P1/PP1R1PKP/4R3 b - - 0 26
Qb8,2q1r3/3Q1pk1/1p2p1p1/7p/8/2P3P1/PP1R1PKP/4R3 b - - 2 27
Rf8,1q2r3/3Q1pk1/1p1Rp1p1/7p/8/2P3P1/PP3PKP/4R3 b - - 4 28
